Data;Godzina;RCE
20230301;1;635,34
20230301;2;634,06
20230301;3;634,02
20230301;4;635,88
20230301;5;638,27
20230301;6;669,31
20230301;7;770,24
20230301;8;830,19
20230301;9;829,99
20230301;10;716,01
20230301;11;633,31
20230301;12;593,65
20230301;13;587,35
20230301;14;590,35
20230301;15;620,85
20230301;16;673,49
20230301;17;758,06
20230301;18;849,85
20230301;19;907,55
20230301;20;899,84
20230301;21;848,74
20230301;22;765,85
20230301;23;732,28
20230301;24;687,56
20230302;1;679,24
20230302;2;647,70
20230302;3;660,53
20230302;4;667,52
20230302;5;647,05
20230302;6;708,89
20230302;7;806,33
20230302;8;849,89
20230302;9;850,75
20230302;10;729,47
20230302;11;653,57
20230302;12;597,07
20230302;13;588,04
20230302;14;589,86
20230302;15;624,51
20230302;16;701,24
20230302;17;788,52
20230302;18;867,16
20230302;19;897,73
20230302;20;887,39
20230302;21;859,90
20230302;22;775,07
20230302;23;755,79
20230302;24;671,99
20230303;1;639,76
20230303;2;606,19
20230303;3;597,32
20230303;4;595,85
20230303;5;599,36
20230303;6;647,77
20230303;7;771,25
20230303;8;821,00
20230303;9;819,90
20230303;10;771,29
20230303;11;636,09
20230303;12;570,39
20230303;13;563,22
20230303;14;561,38
20230303;15;554,37
20230303;16;621,24
20230303;17;710,49
20230303;18;791,18
20230303;19;766,17
20230303;20;736,71
20230303;21;667,57
20230303;22;555,71
20230303;23;552,01
20230303;24;496,82
20230304;1;444,03
20230304;2;432,23
20230304;3;445,97
20230304;4;444,52
20230304;5;454,87
20230304;6;443,65
20230304;7;456,00
20230304;8;482,61
20230304;9;499,89
20230304;10;501,98
20230304;11;474,87
20230304;12;457,38
20230304;13;456,14
20230304;14;437,23
20230304;15;460,23
20230304;16;501,11
20230304;17;534,42
20230304;18;614,05
20230304;19;678,48
20230304;20;682,30
20230304;21;646,15
20230304;22;585,37
20230304;23;553,52
20230304;24;505,15
20230305;1;520,90
20230305;2;498,07
20230305;3;473,57
20230305;4;470,37
20230305;5;465,57
20230305;6;472,13
20230305;7;471,88
20230305;8;492,15
20230305;9;505,15
20230305;10;494,12
20230305;11;481,27
20230305;12;481,00
20230305;13;474,95
20230305;14;475,96
20230305;15;486,07
20230305;16;518,22
20230305;17;543,76
20230305;18;665,16
20230305;19;720,97
20230305;20;735,66
20230305;21;699,92
20230305;22;676,09
20230305;23;632,04
20230305;24;547,33
20230306;1;591,68
20230306;2;567,69
20230306;3;562,50
20230306;4;567,45
20230306;5;568,27
20230306;6;621,61
20230306;7;758,28
20230306;8;852,88
20230306;9;867,85
20230306;10;812,05
20230306;11;792,05
20230306;12;766,24
20230306;13;747,22
20230306;14;747,77
20230306;15;746,63
20230306;16;777,61
20230306;17;800,12
20230306;18;844,51
20230306;19;878,13
20230306;20;870,41
20230306;21;807,94
20230306;22;723,91
20230306;23;665,70
20230306;24;568,92
20230307;1;571,72
20230307;2;550,54
20230307;3;542,30
20230307;4;540,52
20230307;5;541,56
20230307;6;567,60
20230307;7;636,19
20230307;8;651,31
20230307;9;618,23
20230307;10;581,36
20230307;11;532,12
20230307;12;520,77
20230307;13;509,28
20230307;14;512,74
20230307;15;517,30
20230307;16;533,45
20230307;17;565,88
20230307;18;649,89
20230307;19;693,28
20230307;20;666,66
20230307;21;675,31
20230307;22;563,62
20230307;23;549,25
20230307;24;510,29
20230308;1;504,88
20230308;2;491,33
20230308;3;497,17
20230308;4;513,19
20230308;5;526,86
20230308;6;575,12
20230308;7;687,43
20230308;8;748,73
20230308;9;790,44
20230308;10;760,47
20230308;11;717,68
20230308;12;657,58
20230308;13;666,54
20230308;14;658,31
20230308;15;684,05
20230308;16;714,61
20230308;17;746,32
20230308;18;778,79
20230308;19;835,66
20230308;20;833,92
20230308;21;785,45
20230308;22;732,18
20230308;23;684,59
20230308;24;579,29
20230309;1;572,41
20230309;2;568,21
20230309;3;568,51
20230309;4;568,49
20230309;5;569,05
20230309;6;594,66
20230309;7;677,64
20230309;8;765,13
20230309;9;793,12
20230309;10;766,25
20230309;11;707,83
20230309;12;669,62
20230309;13;646,80
20230309;14;643,24
20230309;15;654,24
20230309;16;726,88
20230309;17;795,79
20230309;18;819,55
20230309;19;826,52
20230309;20;819,18
20230309;21;813,16
20230309;22;688,52
20230309;23;615,99
20230309;24;545,62
20230310;1;579,16
20230310;2;564,56
20230310;3;563,81
20230310;4;563,95
20230310;5;562,94
20230310;6;582,51
20230310;7;646,45
20230310;8;714,13
20230310;9;709,30
20230310;10;668,86
20230310;11;603,67
20230310;12;588,66
20230310;13;562,39
20230310;14;562,58
20230310;15;600,11
20230310;16;654,59
20230310;17;716,33
20230310;18;758,70
20230310;19;783,37
20230310;20;775,97
20230310;21;723,12
20230310;22;670,14
20230310;23;628,29
20230310;24;586,16
20230311;1;569,27
20230311;2;554,45
20230311;3;508,19
20230311;4;491,34
20230311;5;482,28
20230311;6;473,27
20230311;7;483,93
20230311;8;500,57
20230311;9;498,07
20230311;10;485,05
20230311;11;490,97
20230311;12;449,11
20230311;13;446,40
20230311;14;440,60
20230311;15;435,73
20230311;16;447,32
20230311;17;512,24
20230311;18;583,48
20230311;19;602,32
20230311;20;602,89
20230311;21;585,30
20230311;22;553,02
20230311;23;529,85
20230311;24;459,86
20230312;1;434,34
20230312;2;384,66
20230312;3;366,82
20230312;4;342,98
20230312;5;342,96
20230312;6;349,54
20230312;7;322,79
20230312;8;331,99
20230312;9;365,20
20230312;10;346,64
20230312;11;293,77
20230312;12;293,40
20230312;13;298,61
20230312;14;306,53
20230312;15;344,74
20230312;16;411,10
20230312;17;539,15
20230312;18;614,33
20230312;19;635,87
20230312;20;639,88
20230312;21;608,51
20230312;22;568,64
20230312;23;596,51
20230312;24;565,93
20230313;1;483,84
20230313;2;454,95
20230313;3;440,25
20230313;4;432,68
20230313;5;456,41
20230313;6;516,45
20230313;7;597,09
20230313;8;608,02
20230313;9;623,87
20230313;10;591,74
20230313;11;536,70
20230313;12;528,93
20230313;13;512,84
20230313;14;516,61
20230313;15;515,71
20230313;16;519,79
20230313;17;535,67
20230313;18;591,95
20230313;19;594,74
20230313;20;596,37
20230313;21;583,30
20230313;22;516,50
20230313;23;520,61
20230313;24;451,35
20230314;1;363,62
20230314;2;349,88
20230314;3;349,76
20230314;4;363,34
20230314;5;389,98
20230314;6;449,55
20230314;7;538,09
20230314;8;530,12
20230314;9;518,34
20230314;10;467,39
20230314;11;420,18
20230314;12;405,88
20230314;13;400,02
20230314;14;417,44
20230314;15;443,96
20230314;16;495,22
20230314;17;551,52
20230314;18;585,05
20230314;19;595,76
20230314;20;622,11
20230314;21;586,86
20230314;22;521,36
20230314;23;519,05
20230314;24;473,10
20230315;1;481,76
20230315;2;467,49
20230315;3;470,56
20230315;4;460,84
20230315;5;479,92
