Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-07-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 06:00;Ca³a doba;0,020;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 07:00;Ca³a doba;0,119;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 08:00;Ca³a doba;0,355;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 09:00;Ca³a doba;0,546;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 10:00;Ca³a doba;1,303;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 11:00;Ca³a doba;1,505;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 12:00;Ca³a doba;1,732;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 13:00;Ca³a doba;1,735;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 14:00;Ca³a doba;0,960;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 15:00;Ca³a doba;0,157;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 16:00;Ca³a doba;0,006;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 17:00;Ca³a doba;0,035;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 18:00;Ca³a doba;0,036;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 19:00;Ca³a doba;0,014;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 20:00;Ca³a doba;0,015;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 07:00;Ca³a doba;0,064;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 08:00;Ca³a doba;0,266;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 09:00;Ca³a doba;0,580;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 10:00;Ca³a doba;1,025;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 11:00;Ca³a doba;1,445;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 12:00;Ca³a doba;1,805;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 13:00;Ca³a doba;1,656;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 14:00;Ca³a doba;2,023;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 15:00;Ca³a doba;1,683;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 16:00;Ca³a doba;1,500;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 17:00;Ca³a doba;0,708;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 18:00;Ca³a doba;0,604;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 19:00;Ca³a doba;0,195;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 20:00;Ca³a doba;0,041;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-02 22:00;Ca³a doba;0,000;100,00
